"Plot Title: V3"
"#","Date Time, GMT-03:00","Volt, V (LGR S/N: 10453365, SEN S/N: 10453365)","Host Connected (LGR S/N: 10453365)","Stopped (LGR S/N: 10453365)","End Of File (LGR S/N: 10453365)"
458,10/19/19 06:10:51 AM,2.21001,,,
459,10/19/19 06:12:51 AM,2.21001,,,
460,10/19/19 06:14:51 AM,2.21001,,,
461,10/19/19 06:16:51 AM,2.21001,,,
462,10/19/19 06:18:51 AM,2.21001,,,
463,10/19/19 06:20:51 AM,2.21001,,,
464,10/19/19 06:22:51 AM,2.21001,,,
465,10/19/19 06:24:51 AM,2.21001,,,
466,10/19/19 06:26:51 AM,2.21001,,,
467,10/19/19 06:28:51 AM,2.21001,,,
468,10/19/19 06:30:51 AM,2.21001,,,
469,10/19/19 06:32:51 AM,2.21001,,,
470,10/19/19 06:34:51 AM,2.21001,,,
471,10/19/19 06:36:51 AM,2.21001,,,
472,10/19/19 06:38:51 AM,2.21001,,,
473,10/19/19 06:40:51 AM,2.21001,,,
474,10/19/19 06:42:51 AM,2.21001,,,
475,10/19/19 06:44:51 AM,2.21001,,,
476,10/19/19 06:46:51 AM,2.21001,,,
477,10/19/19 06:48:51 AM,2.21001,,,
478,10/19/19 06:50:51 AM,2.21001,,,
479,10/19/19 06:52:51 AM,2.21001,,,
480,10/19/19 06:54:51 AM,2.21001,,,
481,10/19/19 06:56:51 AM,2.21001,,,
482,10/19/19 06:58:51 AM,2.21001,,,
483,10/19/19 07:00:51 AM,2.21001,,,
484,10/19/19 07:02:51 AM,2.21001,,,
485,10/19/19 07:04:51 AM,2.21001,,,
486,10/19/19 07:06:51 AM,2.21001,,,
487,10/19/19 07:08:51 AM,2.21001,,,
488,10/19/19 07:10:51 AM,2.21001,,,
489,10/19/19 07:12:51 AM,2.21001,,,
490,10/19/19 07:14:51 AM,2.21001,,,
491,10/19/19 07:16:51 AM,2.21001,,,
492,10/19/19 07:18:51 AM,2.21001,,,
493,10/19/19 07:20:51 AM,2.21001,,,
494,10/19/19 07:22:51 AM,2.21001,,,
495,10/19/19 07:24:51 AM,2.21001,,,
496,10/19/19 07:26:51 AM,2.21001,,,
497,10/19/19 07:28:51 AM,2.21001,,,
498,10/19/19 07:30:51 AM,2.21001,,,
499,10/19/19 07:32:51 AM,2.21062,,,
500,10/19/19 07:34:51 AM,2.21001,,,
501,10/19/19 07:36:51 AM,2.21001,,,
502,10/19/19 07:38:51 AM,2.21001,,,
503,10/19/19 07:40:51 AM,2.21001,,,
504,10/19/19 07:42:51 AM,2.21001,,,
505,10/19/19 07:44:51 AM,2.21062,,,
506,10/19/19 07:46:51 AM,2.21001,,,
507,10/19/19 07:48:51 AM,2.21062,,,
