"Plot Title: r1"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10323477, SEN S/N: 10323477)","Event, units (LGR S/N: 10323477, SEN S/N: 10323477)","Coupler Attached (LGR S/N: 10323477)","Stopped (LGR S/N: 10323477)","End Of File (LGR S/N: 10323477)"
400,11/12/19 12:46:00 AM,17.189,,,,
401,11/12/19 01:46:00 AM,16.427,,,,
402,11/12/19 02:46:00 AM,15.473,,,,
403,11/12/19 03:46:00 AM,16.141,,,,
404,11/12/19 04:46:00 AM,15.187,,,,
405,11/12/19 05:46:00 AM,15.760,,,,
406,11/12/19 06:46:00 AM,16.808,,,,
407,11/12/19 07:46:00 AM,20.138,,,,
408,11/12/19 08:46:00 AM,22.621,,,,
409,11/12/19 09:46:00 AM,24.158,,,,
410,11/12/19 10:46:00 AM,27.173,,,,
411,11/12/19 11:46:00 AM,27.961,,,,
412,11/12/19 12:46:00 PM,29.352,,,,
413,11/12/19 01:46:00 PM,30.760,,,,
414,11/12/19 02:17:59 PM,,,Logged,,
415,11/12/19 02:18:01 PM,,151.00,,Logged,Logged
